CANADA 90ITEMS
09002N
11701140
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
  151181 1313333133333333333313133313311331333333131133333313333131333
  151181 2313313113333313111333313331313
  152190 1333113133333331333313113311311331311331311133133311331113131
  152190 2311311131333311111331313331313
  153221 1311313333333331133111111313111131113313333133133313333133333
  153221 2333131111333111111113313331133
  154320 1333113113331313133313113311313331311311331133331313333331113
  154320 2313311111333331133133313331333
  155190 1331133333333331131313133313113331331333113111133311311133311
  155190 2311311131333311311133313311331
  156240 1133133333333313133311133313311131313311311133313111333333313
  156240 2313313133333333331133313331313
  157191 1313113113333331131333131313111133331333331313333311333333331
  157191 2331333313333313133333333333313
  158201 1333113333333133333111133313311333333313131133113311331313333
  158201 2333311113333313131333313331313
  159251 1331311133333331131311333311111111133313111131333333331111113
  159251 2311313313331131131133311331333
  160190 1313133333333131333111113313311131113313331133113313313133333
  160190 2313313131311313111111333331333
  161240 1333113313333331133313133313111111311331111131133313131313313
  161240 2313313133133331131131313331313
  162191 1331313333333111333313133113311133333333113131333311331333333
  162191 2313313133133111111133133313333
  163211 1331113133133333133311111313111131311313113131333113333333311
  163211 2311113111133313131133311311133
  164190 1113313331133133313313333111131111311313113131313313133113331
  164190 2333111133113313131333113333313
  165180 1333113333333313313313133313111311311331113131133313131313331
  165180 2313113131333313133133313311313
  166180 1333113331133311133313131113331131311133111111313111333131111
  166180 2311313133133331111133113311313
  167180 1133313333333131133111133111111331113133131131313313333111333
  167180 2313111133111313111333333313113
  168300 1133133313333331133313133313311131311333311133133313331113333
  168300 2331313111333311111133313331313
  169221 1333133113333131333311113313113331311333331131133313331113333
  169221 2333111133133313331333113331313
  170291 1133113333133313333333113113331311331333311131113313331113111
  170291 2133113113333313331133113313333
  171181 1331313311333331333313133313313131313333113133131313333133333
  171181 2331113133333313111333313331313
  172190 1131333333333331133311133111111331313333111111313313331111313
  172190 2331113133331333131133113311313
  173220 1311111131131331331113133311131111111313113111113313311131133
  173220 2113311333131331111113311311313
  174180 1133313333133111113313133113131131311333113131133313131333331
  174180 2133113333133311131133133333313
  175220 1331113113333311133313111313131111313311113111133113131113111
  175220 2313113111133313131133111111333
  176201 1331131131333131133111313311111131113313311113113313311133333
  176201 2313311111333331113313313331333
  177231 1331131131331131133311113311311131113313311133113313331113133
  177231 2313311311331311111113311331133
  178220 1333133131333131333311313313111131313313311131133313331113133
  178220 2313311113331311113313311331333
  179220 1331113333133111333313111313111111331313113131133313331111311
  179220 2313111111333313131113111331313
  180190 1333333311331131333313133311311331311333311133113313333313333
  180190 2333313113331313131133313311333
  181210 1133131333333333333311133311111131113313331133113313331313331
  181210 2313111331331311111133311331313
  182201 1331113133133331133131113111311133111313111133313313331333333
  182201 2333311133331311113313313331313
  183190 1133313333333131333333133113311331313311113113131311131333333
  183190 2331113133333313131131113311333
  184221 1333113333333331133313111311111131331333313111133311331133113
  184221 2311113111331311333131313331333
  185201 1133331133333333133131133311311131113311311131133311331133331
