ZIMBAWE 90ITEMS
09002N
11641146
001003
(I5,I2,I1,1X,I1,70I1)
(I5,I2,I1,1X,I1,70I1)
  299260 1331113333333131113333113133131331311333313133133311331
  299260 2333133313113333333333133333313333333
  300310 1333133133333331133111133313111111111331111331133313331
  300310 2333113331113313333311131311313333333
  301210 1333113133133111333313113313113111111333313113133311331
  301210 2313131313131333133311333111111111333
  302220 1333313333333111133133131113311111111333313131133313133
  302220 2311313331133331133311331133333333333
  303240 1333311313333331133331131113113131111331311111131311331
  303240 2133133333113333333311131313313333133
  304200 1333113113333331133311131131133131131313311111133311333
  304200 2313333311333131331113333313311333131
  305220 1333311113333311133333131111133333133113333111111311311
  305220 2133313331133111133111333311311333113
  306220 1313133113332131133311113311313131333331333133133311333
  306220 2131313313133111331313231331331313311
  307311 1311331123333331133133111311133311331331313133131313331
  307311 2333113311313111331311333111311332331
  308251 1331111113333311333131133113131131111333311133133311331
  308251 2313333333313313333331113333313333333
  309261 1333133113331331133111133313311131311333311313131311331
  309261 2313113311111111331111113313113313333
  310241 1133113113331133331311133313133133111131311133133311331
  310241 2331113313313313333331133133313333313
  311211 1233313333333333131313133313331331131333311333133313333
  311211 2333311331313113333331133133313331333
  312221 1133133313333313113333131113111111113333133131133311131
  312221 2331333331131113133311133133213333333
  313321 1333313133333131333311333313311131112333333133133311331
  313321 2313333313311333333311111133331333331
  314331 1133313313333113133113131311131311133333333333131111333
  314331 2313313333311331133311333111313133333
  315201 1133311333133131331311333313331331111333313131133111131
  315201 2311331333131131333311331133111333133
  316251 1333331133333131333113133111111133113333111133133311331
  316251 2131333313313313333311133133313333331
  317271 1311313131311311331113111111111113133313311311111311331
  317271 2333313311111313333111131111111133133
  318231 1311233113333133133331131313131131131333311111131331333
  318231 2313331311311311331311113113313333333
  319241 1133333133333311333133111113131133131333311313131331331
  319241 2313111311131111331111113133113133133
  320231 1133333113311331333133131333331133113313311131131331331
  320231 2331333333133311333311323113131333133
  321281 1133313113333133333111233313111111111333111133133313333
  321281 2113313313333311331111331313311331133
  322261 1333331333333133331313131313313133111331313133133313331
  322261 2311333333333313333311331133313333333
  323231 1333133111333331133131111313111131333333311133131311333
  323231 2333113311313111331311113313311131333
  324291 1333333113333311331331113313113131111333311111113311331
  324291 2333331311111111331111133113311133133
  325371 1133313333333333133333131113113331133333311113131311333
  325371 2333313333133313333313113313311131333
  326340 1333113313233211133133133111131131113333322111113313333
